test_id,p,unique_count,estimate,error_percent,memory_bytes,seed,merge_type,merge_estimate,merge_error_percent
0,10,1000000,986633,1.34,1048.00,12522323745379466009
0,10,1000000,986633,1.34,1048.00,12522323745379466009,merge,986633,1.34
1,10,10000,10125,1.25,1048.00,12522323745379466009
1,10,10000,10125,1.25,1048.00,12522323745379466009,merge,10125,1.25
2,10,100000,101240,1.24,1048.00,12522323745379466009
2,10,100000,101240,1.24,1048.00,12522323745379466009,merge,101240,1.24
3,10,500000,505881,1.18,1048.00,12522323745379466009
3,10,500000,505881,1.18,1048.00,12522323745379466009,merge,505881,1.18
4,11,1000000,1036481,3.65,2072.00,12522323745379466009
4,11,1000000,1036481,3.65,2072.00,12522323745379466009,merge,1036481,3.65
5,11,10000,9691,3.09,2072.00,12522323745379466009
5,11,10000,9691,3.09,2072.00,12522323745379466009,merge,9691,3.09
6,11,100000,102726,2.73,2072.00,12522323745379466009
6,11,100000,102726,2.73,2072.00,12522323745379466009,merge,102726,2.73
7,11,500000,494242,1.15,2072.00,12522323745379466009
7,11,500000,494242,1.15,2072.00,12522323745379466009,merge,494242,1.15
8,12,1000000,1000307,0.03,4120.00,12522323745379466009
8,12,1000000,1000307,0.03,4120.00,12522323745379466009,merge,1000307,0.03
9,12,10000,10337,3.37,4120.00,12522323745379466009
9,12,10000,10337,3.37,4120.00,12522323745379466009,merge,10337,3.37
10,12,100000,100038,0.04,4120.00,12522323745379466009
10,12,100000,100038,0.04,4120.00,12522323745379466009,merge,100038,0.04
11,12,500000,497551,0.49,4120.00,12522323745379466009
11,12,500000,497551,0.49,4120.00,12522323745379466009,merge,497551,0.49
12,13,1000000,1005645,0.56,8216.00,12522323745379466009
12,13,1000000,1005645,0.56,8216.00,12522323745379466009,merge,1005645,0.56
13,13,10000,10074,0.74,8216.00,12522323745379466009
13,13,10000,10074,0.74,8216.00,12522323745379466009,merge,10074,0.74
14,13,100000,99640,0.36,8216.00,12522323745379466009
14,13,100000,99640,0.36,8216.00,12522323745379466009,merge,99640,0.36
15,13,500000,502264,0.45,8216.00,12522323745379466009
15,13,500000,502264,0.45,8216.00,12522323745379466009,merge,502264,0.45
16,14,1000000,1010611,1.06,16408.00,12522323745379466009
16,14,1000000,1010611,1.06,16408.00,12522323745379466009,merge,1010611,1.06
17,14,10000,10046,0.46,16408.00,12522323745379466009
17,14,10000,10046,0.46,16408.00,12522323745379466009,merge,10046,0.46
18,14,100000,100788,0.79,16408.00,12522323745379466009
18,14,100000,100788,0.79,16408.00,12522323745379466009,merge,100788,0.79
19,14,500000,496544,0.69,16408.00,12522323745379466009
19,14,500000,496544,0.69,16408.00,12522323745379466009,merge,496544,0.69
20,15,1000000,999484,0.05,32792.00,12522323745379466009
20,15,1000000,999484,0.05,32792.00,12522323745379466009,merge,999484,0.05
21,15,10000,10017,0.17,32792.00,12522323745379466009
21,15,10000,10017,0.17,32792.00,12522323745379466009,merge,10017,0.17
22,15,100000,101357,1.36,32792.00,12522323745379466009
22,15,100000,101357,1.36,32792.00,12522323745379466009,merge,101357,1.36
23,15,500000,499690,0.06,32792.00,12522323745379466009
23,15,500000,499690,0.06,32792.00,12522323745379466009,merge,499690,0.06
24,16,1000000,996527,0.35,65560.00,12522323745379466009
24,16,1000000,996527,0.35,65560.00,12522323745379466009,merge,996527,0.35
25,16,10000,9990,0.10,65560.00,12522323745379466009
25,16,10000,9990,0.10,65560.00,12522323745379466009,merge,9990,0.10
26,16,100000,99896,0.10,65560.00,12522323745379466009
26,16,100000,99896,0.10,65560.00,12522323745379466009,merge,99896,0.10
27,16,500000,500412,0.08,65560.00,12522323745379466009
27,16,500000,500412,0.08,65560.00,12522323745379466009,merge,500412,0.08
